,Year,Mileage,Engine,Power,Price,Miles_Driven,Fuel_Type_CNG,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Automatic,Transmission_Manual,Owner_Type_First,Owner_Type_Fourth & Above,Owner_Type_Second,Owner_Type_Third
1057,2015,43,1199.0,76.8,3803,74564,0,0,0,1,0,1,1,0,0,0
1058,2012,34,2993.0,270.9,30424,18019,0,1,0,0,1,0,1,0,0,0
1059,2014,31,1598.0,102.5,7986,24854,0,0,0,1,0,1,1,0,0,0
1060,2013,36,1968.0,174.33,22057,37282,0,1,0,0,1,0,0,0,1,0
1061,2011,39,1197.0,78.9,5248,40379,0,0,0,1,1,0,1,0,0,0
1062,2015,56,998.0,67.1,5020,45486,0,0,0,1,1,0,1,0,0,0
1063,2014,26,4134.0,335.2,77582,31068,0,1,0,0,1,0,1,0,0,0
1064,2017,57,1248.0,88.5,9887,21747,0,1,0,0,0,1,1,0,0,0
1065,2013,49,814.0,55.2,5552,11016,0,0,0,1,0,1,1,0,0,0
1066,2012,47,1497.0,115.0,11028,60272,0,1,0,0,0,1,1,0,0,0
1067,2014,51,1582.0,126.2,9142,55683,0,1,0,0,0,1,1,0,0,0
1068,2015,44,998.0,67.1,4259,8699,0,0,0,1,0,1,1,0,0,0
1069,2012,39,1197.0,80.0,6084,31068,0,0,0,1,0,1,1,0,0,0
1070,2014,40,1497.0,117.3,9051,38838,0,0,0,1,0,1,1,0,0,0
1071,2011,30,2494.0,102.0,13995,154100,0,1,0,0,0,1,0,0,1,0
1072,2012,39,1493.0,110.0,8138,58968,0,1,0,0,0,1,1,0,0,0
1073,2017,41,2179.0,153.86,18254,34175,0,1,0,0,0,1,1,0,0,0
1074,2015,28,2967.0,241.4,59236,33389,0,1,0,0,1,0,0,0,1,0
1075,2008,44,998.0,67.1,4092,33513,0,0,0,1,0,1,0,0,1,0
1076,2013,40,1995.0,218.0,41833,36350,0,1,0,0,1,0,0,0,1,0
1077,2014,42,1198.0,86.7,4183,29825,0,0,0,1,0,1,1,0,0,0
1078,2016,58,796.0,47.3,4259,14912,0,0,0,1,0,1,1,0,0,0
1079,2016,40,1591.0,121.3,9811,32311,0,0,0,1,0,1,1,0,0,0
1080,2018,56,1199.0,84.0,8944,5943,0,0,0,1,0,1,1,0,0,0
1081,2013,43,1197.0,85.8,7073,20476,0,0,0,1,0,1,1,0,0,0
1082,2014,49,814.0,55.2,3803,11184,0,0,0,1,0,1,1,0,0,0
1083,2018,29,1950.0,191.34,78114,12704,0,0,0,1,1,0,1,0,0,0
1084,2016,53,1396.0,88.73,10420,20515,0,1,0,0,0,1,1,0,0,0
1085,2012,55,1364.0,67.05,7986,29825,0,1,0,0,0,1,1,0,0,0
1086,2014,50,1364.0,87.2,14040,44752,0,1,0,0,0,1,1,0,0,0
1087,2014,48,1496.0,113.98,33466,21126,0,1,0,0,1,0,1,0,0,0
1088,2014,47,1498.0,88.8,7895,42874,0,1,0,0,0,1,1,0,0,0
1089,2009,32,1798.0,157.75,6617,67108,0,0,0,1,1,0,1,0,0,0
1090,2013,23,2148.0,170.0,37269,21561,0,1,0,0,1,0,1,0,0,0
1091,2015,41,1248.0,75.0,8747,49088,0,1,0,0,0,1,1,0,0,0
1092,2016,42,1497.0,117.3,13980,36161,0,0,0,1,1,0,1,0,0,0
1093,2008,19,2979.0,321.0,16353,41010,0,0,0,1,1,0,0,0,1,0
1094,2009,45,1197.0,80.0,4548,37282,0,0,0,1,1,0,1,0,0,0
1095,2014,62,1248.0,74.0,5917,35418,0,1,0,0,0,1,1,0,0,0
1096,2018,61,1498.0,98.6,17843,28306,0,1,0,0,0,1,1,0,0,0
1097,2016,32,796.0,35.0,4730,34260,0,0,0,1,0,1,1,0,0,0
1098,2014,40,1968.0,138.1,21981,57989,0,1,0,0,0,1,0,0,1,0
1099,2018,57,1248.0,88.5,13234,23612,0,1,0,0,0,1,1,0,0,0
1100,2016,56,1120.0,70.0,7666,35876,0,1,0,0,0,1,1,0,0,0
1101,2017,66,1248.0,88.5,12930,23787,0,1,0,0,0,1,1,0,0,0
1102,2014,45,2143.0,170.0,23807,39767,0,1,0,0,1,0,1,0,0,0
1103,2015,48,1248.0,91.72,8594,19883,0,1,0,0,0,1,1,0,0,0
1104,2010,25,2497.0,204.0,25100,51573,0,0,0,1,1,0,1,0,0,0
1105,2011,61,998.0,67.1,3042,47224,1,0,0,0,0,1,1,0,0,0
1106,2012,35,1598.0,103.6,5932,41756,0,0,0,1,0,1,1,0,0,0
1107,2013,44,1995.0,184.0,22057,38932,0,1,0,0,1,0,1,0,0,0
1108,2015,34,2993.0,258.0,66933,10501,0,1,0,0,1,0,1,0,0,0
1109,2017,44,1197.0,81.86,7606,5263,0,0,0,1,0,1,1,0,0,0
1110,2016,26,2755.0,171.5,30044,42874,0,1,0,0,1,0,1,0,0,0
1111,2017,46,1461.0,108.45,17402,18697,0,1,0,0,1,0,1,0,0,0
1112,2011,42,1248.0,75.0,2662,74564,0,1,0,0,0,1,1,0,0,0
1113,2016,28,1796.0,185.0,46275,22331,0,0,0,1,0,1,1,0,0,0
1114,2013,35,2179.0,140.0,14558,72510,0,1,0,0,0,1,1,0,0,0
1115,2016,37,2523.0,62.1,5324,25133,0,1,0,0,0,1,1,0,0,0
1116,2018,57,1248.0,88.5,15911,40051,0,1,0,0,0,1,1,0,0,0
1117,2014,48,1248.0,91.72,7377,32797,0,1,0,0,0,1,1,0,0,0
1118,2016,45,1199.0,88.76,8640,32107,0,0,0,1,0,1,1,0,0,0
1119,2015,32,1798.0,157.75,20156,34842,0,0,0,1,1,0,1,0,0,0
1120,2011,34,2993.0,270.9,24339,40389,0,1,0,0,1,0,1,0,0,0
1121,2013,44,998.0,67.1,4563,49088,0,0,0,1,0,1,1,0,0,0
1122,2010,34,1798.0,138.1,7606,43620,0,0,0,1,1,0,1,0,0,0
1123,2016,37,1197.0,85.0,7225,26097,0,0,0,1,0,1,1,0,0,0
1124,2014,38,1198.0,74.0,8138,38525,0,0,0,1,0,1,1,0,0,0
1125,2017,44,1197.0,81.86,9096,12427,0,0,0,1,0,1,1,0,0,0
1126,2011,50,1248.0,88.8,5324,49709,0,1,0,0,0,1,0,0,0,1
1127,2018,44,1197.0,81.86,7256,31213,0,0,0,1,0,1,1,0,0,0
1128,2016,50,1197.0,83.1,8290,31070,0,0,0,1,0,1,1,0,0,0
1129,2018,47,1199.0,84.0,10420,621,0,0,0,1,1,0,1,0,0,0
1130,2016,62,1248.0,74.0,11104,34111,0,1,0,0,1,0,1,0,0,0
1131,2007,35,1193.0,65.3,1901,67726,0,0,0,1,0,1,1,0,0,0
1132,2015,53,1598.0,118.0,12550,45360,0,1,0,0,0,1,1,0,0,0
1133,2008,37,1298.0,88.2,4122,40389,0,0,0,1,0,1,1,0,0,0
1134,2016,44,1197.0,82.0,5476,19883,0,0,0,1,0,1,1,0,0,0
1135,2010,43,1197.0,80.0,4563,40389,0,0,0,1,0,1,1,0,0,0
1136,2016,54,998.0,67.04,7073,13421,0,0,0,1,1,0,1,0,0,0
1137,2010,34,2143.0,170.0,14451,24233,0,1,0,0,1,0,1,0,0,0
1138,2011,41,1298.0,85.8,4487,36086,0,0,0,1,0,1,1,0,0,0
1139,2011,35,1598.0,103.6,4563,36039,0,0,0,1,0,1,1,0,0,0
1140,2015,59,1248.0,74.0,9051,36039,0,1,0,0,0,1,1,0,0,0
1141,2008,34,1798.0,138.1,6084,55302,0,0,0,1,1,0,1,0,0,0
1142,2008,31,1799.0,130.0,3803,44738,0,0,0,1,0,1,1,0,0,0
1143,2017,37,1499.0,110.4,17296,1118,0,0,0,1,1,0,1,0,0,0
1144,2010,44,1248.0,93.0,3422,106906,0,1,0,0,0,1,0,0,1,0
1145,2013,46,1086.0,68.05,4715,28725,0,0,0,1,0,1,1,0,0,0
1146,2014,26,2400.0,215.0,26134,54012,0,1,0,0,1,0,1,0,0,0
1147,2018,43,1197.0,81.83,9887,3106,0,0,0,1,0,1,1,0,0,0
1148,2014,61,1498.0,98.6,8670,41010,0,1,0,0,0,1,1,0,0,0
1149,2013,30,2494.0,100.0,12169,73943,0,1,0,0,0,1,1,0,0,0
1150,2016,59,799.0,53.3,3955,27961,0,0,0,1,0,1,1,0,0,0
1151,2009,44,998.0,66.1,3726,41103,0,0,0,1,0,1,1,0,0,0
1152,2014,34,1595.0,120.7,17600,26141,0,0,0,1,1,0,1,0,0,0
1153,2012,44,998.0,67.1,3498,22060,0,0,0,1,0,1,1,0,0,0
1154,2016,59,1248.0,74.0,8975,25762,0,1,0,0,0,1,1,0,0,0
1155,2015,39,1591.0,121.3,10952,25227,0,0,0,1,1,0,1,0,0,0
1156,2013,51,1582.0,126.2,8975,54059,0,1,0,0,1,0,1,0,0,0
1157,2014,39,1497.0,116.3,9127,18641,0,0,0,1,0,1,0,0,1,0
1158,2010,37,1086.0,66.7,2966,16832,0,0,0,1,0,1,1,0,0,0
1159,2016,55,1364.0,67.04,9963,33368,0,1,0,0,0,1,1,0,0,0
1160,2015,63,1969.0,190.0,38030,31689,0,1,0,0,1,0,1,0,0,0
1161,2012,47,1399.0,68.05,4031,22706,0,1,0,0,0,1,1,0,0,0
1162,2017,30,2987.0,265.0,105724,9320,0,1,0,0,1,0,1,0,0,0
1163,2012,53,1995.0,190.0,21297,40389,0,1,0,0,1,0,1,0,0,0
1164,2014,53,796.0,47.3,3194,19883,0,0,0,1,0,1,0,0,1,0
1165,2017,32,2393.0,147.8,31032,15157,0,1,0,0,0,1,1,0,0,0
1166,2019,44,999.0,75.0,8640,621,0,0,0,1,0,1,1,0,0,0
1167,2014,31,1598.0,102.5,8442,17546,0,0,0,1,0,1,1,0,0,0
1168,2013,31,2477.0,175.56,19395,36660,0,1,0,0,0,1,1,0,0,0
1169,2012,34,1799.0,130.2,5096,57166,0,0,0,1,0,1,0,0,1,0
1170,2013,53,796.0,47.3,2357,35318,0,0,0,1,0,1,1,0,0,0
1171,2013,48,1598.0,103.6,8975,38988,0,1,0,0,0,1,0,0,1,0
1172,2012,29,2179.0,187.74,28872,59651,0,1,0,0,1,0,1,0,0,0
1173,2014,32,1997.0,153.86,17509,14912,0,0,0,1,0,1,1,0,0,0
1174,2016,48,1248.0,88.76,11789,33554,0,1,0,0,0,1,1,0,0,0
1175,2016,30,2494.0,100.6,21144,55923,0,1,0,0,0,1,1,0,0,0
1176,2010,35,1368.0,90.0,2053,24854,0,0,0,1,0,1,1,0,0,0
1177,2015,28,2967.0,241.4,57806,40971,0,1,0,0,1,0,0,0,1,0
1178,2017,40,1591.0,121.4,17646,10004,0,0,0,1,1,0,1,0,0,0
1179,2017,50,1498.0,108.5,18634,2236,0,1,0,0,1,0,1,0,0,0
1180,2011,39,1497.0,118.0,5780,32311,0,0,0,1,0,1,1,0,0,0
1181,2014,47,1399.0,68.05,4943,33554,0,1,0,0,0,1,1,0,0,0
1182,2016,43,1199.0,88.7,9735,9568,0,0,0,1,0,1,1,0,0,0
1183,2012,38,1198.0,73.9,6008,46602,0,0,0,1,0,1,0,0,1,0
1184,2010,40,1497.0,117.3,5430,47691,0,0,0,1,0,1,1,0,0,0
1185,2005,41,1497.0,78.0,1901,34796,0,0,0,1,0,1,0,0,1,0
1186,2015,61,998.0,58.2,5552,43495,1,0,0,0,0,1,1,0,0,0
1187,2013,28,2354.0,187.4,19015,28660,0,0,0,1,1,0,0,0,1,0
1188,2014,42,1995.0,190.0,34988,21747,0,1,0,0,1,0,0,0,1,0
1189,2003,30,1489.0,35.5,2053,49709,0,1,0,0,0,1,0,0,0,1
1190,2012,28,2179.0,120.0,9614,38977,0,1,0,0,0,1,1,0,0,0
1191,2012,48,1598.0,103.6,5172,21126,0,1,0,0,0,1,1,0,0,0
1192,1999,40,993.0,60.0,1171,43495,0,0,0,1,0,1,0,0,1,0
1193,2009,37,796.0,37.0,1369,19883,0,0,0,1,0,1,1,0,0,0
1194,2017,33,1798.0,138.03,27381,13048,0,0,0,1,1,0,1,0,0,0
1195,2013,34,1997.0,245.0,28903,30447,0,0,0,1,1,0,1,0,0,0
1196,2007,32,1299.0,70.0,1673,24854,0,0,0,1,0,1,0,0,0,1
1197,2012,43,1199.0,79.4,3042,48466,0,0,0,1,0,1,0,0,1,0
1198,2012,50,1364.0,86.79,9887,32311,0,1,0,0,0,1,1,0,0,0
1199,2014,37,2179.0,140.0,14375,40521,0,1,0,0,0,1,1,0,0,0
1200,2016,57,1120.0,71.0,6084,105633,0,1,0,0,0,1,1,0,0,0
1201,2017,30,2143.0,204.0,49059,22918,0,1,0,0,1,0,1,0,0,0
1202,2009,47,1197.0,78.9,3194,38835,0,0,0,1,0,1,1,0,0,0
1203,2015,33,1798.0,138.03,14831,42253,0,0,0,1,1,0,0,0,1,0
1204,2014,34,1798.0,138.0,9583,25319,0,0,0,1,0,1,1,0,0,0
1205,2013,40,1968.0,184.0,31945,37282,0,1,0,0,1,0,1,0,0,0
1206,2014,51,1396.0,88.8,7073,7705,0,1,0,0,0,1,1,0,0,0
1207,2013,45,2143.0,167.62,25860,54059,0,1,0,0,1,0,0,0,1,0
1208,2013,49,1248.0,73.9,6617,12581,0,1,0,0,0,1,1,0,0,0
1209,2017,46,1582.0,126.2,22544,32549,0,1,0,0,0,1,1,0,0,0
1210,2018,31,1999.0,177.0,60848,621,0,1,0,0,1,0,1,0,0,0
1211,2016,35,2489.0,93.7,9355,52816,0,1,0,0,0,1,1,0,0,0
1212,2014,30,2494.0,100.6,17113,29204,0,1,0,0,0,1,1,0,0,0
1213,2018,45,2494.0,157.7,48679,10926,0,0,0,1,1,0,1,0,0,0
1214,2018,31,2967.0,241.4,69398,20192,0,1,0,0,1,0,1,0,0,0
1215,2017,66,1248.0,74.0,9492,21507,0,1,0,0,0,1,1,0,0,0
1216,2015,48,1248.0,88.76,7301,95069,0,1,0,0,0,1,1,0,0,0
1217,2014,37,1197.0,85.0,6845,33554,0,0,0,1,0,1,0,0,1,0
1218,2015,47,1197.0,78.9,5887,10501,0,0,0,1,0,1,1,0,0,0
1219,2013,47,1197.0,78.9,4183,38732,0,0,0,1,0,1,1,0,0,0
1220,2018,50,1197.0,83.1,9994,14735,0,0,0,1,0,1,1,0,0,0
1221,2010,38,1495.0,93.7,3042,32513,0,0,0,1,0,1,1,0,0,0
1222,2012,45,1198.0,86.8,5552,31068,0,0,0,1,0,1,1,0,0,0
1223,2016,53,1248.0,74.0,10572,34638,0,1,0,0,0,1,1,0,0,0
1224,2014,47,1197.0,81.86,8366,33554,0,0,0,1,0,1,1,0,0,0
1225,2013,37,2179.0,140.0,10648,26718,0,1,0,0,0,1,1,0,0,0
1226,2014,30,2143.0,201.1,36509,24854,0,1,0,0,1,0,1,0,0,0
1227,2010,0,2179.0,115.0,16733,77671,0,1,0,0,1,0,0,0,1,0
1228,2016,45,2143.0,170.0,49439,32276,0,1,0,0,1,0,1,0,0,0
1229,2015,50,1396.0,88.76,9811,29173,0,1,0,0,0,1,1,0,0,0
1230,2015,45,1968.0,141.0,23959,14291,0,1,0,0,1,0,1,0,0,0
1231,2014,39,1497.0,118.0,8366,33893,0,0,0,1,0,1,1,0,0,0
1232,2015,29,2982.0,168.5,28948,32022,0,1,0,0,1,0,1,0,0,0
1233,2013,40,1968.0,184.0,23198,27961,0,1,0,0,1,0,1,0,0,0
1234,2012,49,998.0,67.1,3650,28585,0,0,0,1,0,1,1,0,0,0
1235,2011,54,1396.0,69.0,3498,77050,0,1,0,0,0,1,1,0,0,0
1236,2014,40,1968.0,174.33,21829,48091,0,1,0,0,1,0,1,0,0,0
1237,2018,78,796.0,40.3,5324,6586,1,0,0,0,0,1,1,0,0,0
1238,2018,42,1497.0,117.3,18209,14275,0,0,0,1,1,0,1,0,0,0
1239,2015,33,2755.0,174.5,28751,40396,0,1,0,0,0,1,1,0,0,0
1240,2017,44,1197.0,82.0,8214,10640,0,0,0,1,0,1,1,0,0,0
1241,2015,35,1196.0,73.0,4487,56180,0,0,0,1,0,1,1,0,0,0
1242,2013,38,1198.0,73.9,7758,22990,0,0,0,1,0,1,1,0,0,0
1243,2006,44,1061.0,67.0,2281,40389,0,0,0,1,0,1,1,0,0,0
1244,2011,39,1497.0,118.0,7453,41010,0,0,0,1,0,1,1,0,0,0
1245,2010,34,1799.0,130.2,4411,53437,0,0,0,1,0,1,1,0,0,0
1246,2005,30,1493.0,100.0,1749,61165,0,0,0,1,0,1,1,0,0,0
1247,2010,43,1197.0,80.0,3498,11184,0,0,0,1,0,1,1,0,0,0
1248,2018,56,1120.0,70.0,9112,21791,0,1,0,0,0,1,1,0,0,0
1249,2011,33,1598.0,103.6,5172,26097,0,0,0,1,1,0,0,0,0,1
1250,2009,47,1197.0,78.9,2586,24854,0,0,0,1,0,1,1,0,0,0
1251,2009,39,1197.0,80.0,3027,26718,0,0,0,1,0,1,1,0,0,0
1252,2012,43,1199.0,79.4,3803,40389,0,0,0,1,0,1,1,0,0,0
1253,2013,51,1199.0,73.9,7377,45981,0,1,0,0,0,1,1,0,0,0
1254,2010,36,1196.0,70.0,4031,31809,0,0,0,1,0,1,1,0,0,0
1255,2014,23,1984.0,207.8,41605,8861,0,0,0,1,1,0,1,0,0,0
1256,2015,59,1498.0,98.6,10496,41221,0,1,0,0,0,1,0,0,1,0
1257,2013,47,1399.0,68.05,5324,56047,0,1,0,0,0,1,1,0,0,0
1258,2015,30,2494.0,100.6,19015,35948,0,1,0,0,0,1,1,0,0,0
1259,2017,44,1373.0,91.1,13995,19883,0,0,0,1,1,0,1,0,0,0
1260,2015,44,1197.0,82.0,7453,18411,0,0,0,1,1,0,1,0,0,0
1261,2014,44,999.0,123.24,8442,33661,0,0,0,1,0,1,1,0,0,0
1262,2014,34,1798.0,177.6,20536,31068,0,0,0,1,1,0,1,0,0,0
1263,2010,47,1248.0,91.7,3955,90098,0,1,0,0,0,1,1,0,0,0
1264,2015,37,1298.0,88.2,6845,48466,0,0,0,1,0,1,1,0,0,0
1265,2013,27,2993.0,180.0,51721,40389,0,1,0,0,1,0,0,0,1,0
1266,2012,30,2494.0,102.0,18254,74564,0,1,0,0,0,1,1,0,0,0
1267,2015,66,1248.0,74.0,7986,8699,0,1,0,0,0,1,1,0,0,0
1268,2014,41,1968.0,174.33,32797,35701,0,1,0,0,1,0,1,0,0,0
1269,2012,52,1995.0,190.0,37543,27619,0,1,0,0,1,0,1,0,0,0
1270,2013,43,1197.0,82.9,5582,39629,0,0,0,1,0,1,1,0,0,0
1271,2016,40,1995.0,190.0,44875,19262,0,1,0,0,1,0,1,0,0,0
1272,2012,41,1496.0,88.73,4715,37282,0,0,0,1,0,1,1,0,0,0
1273,2015,39,1405.0,70.0,4411,48471,0,1,0,0,0,1,1,0,0,0
1274,2014,0,2987.0,165.0,65412,20505,0,1,0,0,1,0,0,0,1,0
1275,2009,25,1984.0,114.4,24263,16825,0,0,0,1,1,0,1,0,0,0
1276,2011,46,1598.0,103.6,6845,35589,0,1,0,0,0,1,1,0,0,0
1277,2014,56,1120.0,70.0,5309,27961,0,1,0,0,0,1,1,0,0,0
1278,2014,59,1248.0,74.0,6465,35616,0,1,0,0,0,1,1,0,0,0
1279,2008,56,1396.0,88.76,2890,75246,0,1,0,0,0,1,0,0,1,0
1280,2011,39,1995.0,218.0,25206,55302,0,1,0,0,1,0,1,0,0,0
1281,2012,39,1497.0,118.0,8747,44738,0,0,0,1,0,1,1,0,0,0
1282,2013,38,1968.0,147.51,21297,22369,0,1,0,0,1,0,0,0,1,0
1283,2013,45,1248.0,75.0,3803,53437,0,1,0,0,0,1,0,0,1,0
1284,2002,30,1343.0,90.0,1825,52816,0,0,0,1,0,1,1,0,0,0
1285,2013,53,1995.0,190.0,21221,23371,0,1,0,0,1,0,1,0,0,0
1286,2007,39,1388.0,68.0,2433,62137,0,0,0,1,0,1,1,0,0,0
1287,2016,51,624.0,37.48,5476,3255,0,0,0,1,1,0,1,0,0,0
1288,2018,35,1196.0,73.0,6845,12427,1,0,0,0,0,1,1,0,0,0
1289,2019,49,1197.0,81.8,9218,10477,0,0,0,1,0,1,1,0,0,0
1290,2013,41,1298.0,85.8,8047,36818,0,0,0,1,0,1,0,0,1,0
1291,2014,53,1498.0,89.84,8747,37282,0,1,0,0,0,1,1,0,0,0
1292,2014,44,1197.0,85.8,8701,29623,0,0,0,1,0,1,1,0,0,0
1293,2014,39,1197.0,78.9,6678,38224,0,0,0,1,1,0,1,0,0,0
1294,2016,35,2179.0,140.0,16809,39112,0,1,0,0,0,1,1,0,0,0
1295,2015,53,1396.0,88.73,7347,41521,0,1,0,0,0,1,0,0,1,0
1296,2013,78,998.0,67.04,4502,49395,1,0,0,0,0,1,1,0,0,0
1297,2012,50,1396.0,88.76,6845,66486,0,1,0,0,0,1,0,0,1,0
1298,2011,38,2993.0,258.0,29663,34175,0,1,0,0,1,0,0,0,1,0
1299,2017,33,1598.0,103.52,13310,14912,0,0,0,1,1,0,1,0,0,0
1300,2016,34,2967.0,245.0,101921,12428,0,1,0,0,1,0,1,0,0,0
1301,2016,40,1497.0,117.3,12778,33751,0,0,0,1,0,1,1,0,0,0
1302,2016,44,1197.0,82.0,7590,6337,0,0,0,1,0,1,1,0,0,0
1303,2016,61,1498.0,98.6,12443,15122,0,1,0,0,0,1,1,0,0,0
1304,2012,43,1198.0,86.8,4411,49088,0,0,0,1,0,1,1,0,0,0
1305,2015,66,1248.0,88.5,10800,25165,0,1,0,0,0,1,1,0,0,0
1306,2016,62,1248.0,74.0,10724,14291,0,1,0,0,0,1,1,0,0,0
1307,2015,26,2354.0,158.8,26621,39177,0,0,0,1,1,0,1,0,0,0
1308,2008,34,1794.0,138.1,5187,48466,0,0,0,1,1,0,0,0,1,0
1309,2012,39,1497.0,118.0,8640,41162,0,0,0,1,0,1,1,0,0,0
1310,2007,28,2179.0,120.0,6237,46051,0,1,0,0,0,1,1,0,0,0
1311,2011,31,1798.0,157.8,6084,54475,0,0,0,1,0,1,1,0,0,0
1312,2015,44,1995.0,184.0,45636,6213,0,1,0,0,1,0,1,0,0,0
1313,2007,35,1586.0,104.68,2738,38831,0,0,0,1,0,1,1,0,0,0
1314,2015,48,1373.0,91.1,10542,27725,0,0,0,1,0,1,1,0,0,0
1315,2012,23,4367.0,308.0,106485,41344,0,1,0,0,1,0,1,0,0,0
1316,2013,30,2494.0,100.0,12017,37282,0,1,0,0,0,1,1,0,0,0
1317,2011,0,1086.0,62.0,4228,12950,0,0,0,1,0,1,1,0,0,0
1318,2014,30,2199.0,194.3,21905,68350,0,1,0,0,1,0,1,0,0,0
1319,2011,27,1796.0,186.0,20536,27961,0,0,0,1,1,0,0,0,1,0
1320,2014,62,998.0,58.16,4791,24854,1,0,0,0,0,1,0,0,1,0
1321,2012,46,796.0,46.3,4381,30452,0,0,0,1,0,1,1,0,0,0
1322,2016,58,796.0,47.3,3270,19262,0,0,0,1,0,1,1,0,0,0
1323,2013,39,1498.0,97.7,5704,4970,0,0,0,1,0,1,1,0,0,0
1324,2019,58,796.0,47.3,5476,106,0,0,0,1,0,1,1,0,0,0
1325,2018,56,998.0,67.1,5476,1304,0,0,0,1,0,1,1,0,0,0
1326,2018,44,1197.0,81.86,11485,12841,0,0,0,1,1,0,1,0,0,0
1327,2015,56,1498.0,98.6,7149,31068,0,1,0,0,0,1,1,0,0,0
1328,2010,44,1248.0,90.0,2433,62155,0,1,0,0,0,1,0,0,1,0
1329,2011,38,1991.0,123.7,5080,46833,0,1,0,0,0,1,1,0,0,0
1330,2016,42,1497.0,117.3,13843,37577,0,0,0,1,1,0,1,0,0,0
1331,2019,44,1197.0,81.86,9385,11466,0,0,0,1,0,1,1,0,0,0
1332,2008,51,1582.0,126.2,3803,60010,0,1,0,0,0,1,1,0,0,0
1333,2016,43,1198.0,75.0,4563,19263,0,0,0,1,0,1,1,0,0,0
1334,2012,52,1582.0,126.32,8747,40948,0,1,0,0,0,1,1,0,0,0
1335,2017,35,1591.0,121.3,16353,16308,0,0,0,1,0,1,1,0,0,0
1336,2013,48,998.0,67.04,4335,38959,0,0,0,1,0,1,0,0,1,0
1337,2008,23,2354.0,180.0,9887,55923,0,0,0,1,1,0,1,0,0,0
1338,2016,39,1497.0,118.0,14375,22369,0,0,0,1,1,0,1,0,0,0
1339,2016,64,1248.0,74.0,10268,28583,0,1,0,0,0,1,1,0,0,0
1340,2017,61,1498.0,98.6,11789,45361,0,1,0,0,0,1,1,0,0,0
1341,2014,53,1396.0,88.76,6693,28934,0,1,0,0,0,1,1,0,0,0
1342,2015,30,2987.0,265.0,63891,25782,0,1,0,0,1,0,1,0,0,0
1343,2014,44,1461.0,108.5,8625,64490,0,1,0,0,0,1,1,0,0,0
1344,2016,46,1461.0,108.45,17494,27961,0,1,0,0,1,0,1,0,0,0
1345,2009,44,998.0,67.1,2570,74564,0,0,0,1,0,1,1,0,0,0
1346,2009,40,1493.0,110.0,2738,60496,0,1,0,0,0,1,0,0,1,0
1347,2016,43,1197.0,85.8,4867,38525,0,0,0,1,0,1,1,0,0,0
1348,2019,52,1995.0,187.74,69763,11416,0,1,0,0,1,0,1,0,0,0
1349,2016,38,1198.0,74.0,7758,37563,0,0,0,1,0,1,1,0,0,0
1350,2010,36,1196.0,70.0,3650,42880,0,0,0,1,0,1,0,0,1,0
1351,2013,44,1995.0,184.0,33466,18641,0,1,0,0,1,0,1,0,0,0
1352,2012,52,1582.0,126.32,6510,43935,0,1,0,0,0,1,1,0,0,0
1353,2015,48,1461.0,83.8,8625,40188,0,1,0,0,0,1,1,0,0,0
1354,2018,44,1197.0,81.86,9431,1864,0,0,0,1,1,0,1,0,0,0
1355,2013,40,1995.0,184.0,22042,30447,0,1,0,0,1,0,0,0,1,0
1356,2010,49,1248.0,73.9,4563,44117,0,1,0,0,0,1,1,0,0,0
1357,2010,46,1086.0,68.05,3422,32311,0,0,0,1,0,1,0,0,1,0
1358,2016,37,2993.0,258.0,66599,22157,0,1,0,0,1,0,1,0,0,0
1359,2019,39,1497.0,116.3,17417,3341,0,0,0,1,0,1,1,0,0,0
1360,2014,26,2696.0,184.0,15972,40389,0,1,0,0,1,0,1,0,0,0
1361,2015,53,1498.0,89.84,11378,57606,0,1,0,0,0,1,1,0,0,0
1362,2010,46,796.0,46.3,4715,29891,0,0,0,1,0,1,1,0,0,0
1363,2011,38,1198.0,74.0,3879,29054,0,0,0,1,0,1,1,0,0,0
1364,2013,51,1199.0,73.9,5324,38525,0,1,0,0,0,1,1,0,0,0
1365,2012,51,1199.0,73.9,3939,21856,0,1,0,0,0,1,1,0,0,0
1366,2013,48,1248.0,88.8,8290,43495,0,1,0,0,0,1,1,0,0,0
1367,2017,53,1498.0,98.59,9127,18641,0,1,0,0,0,1,1,0,0,0
1368,2016,26,2755.0,171.5,23563,41394,0,1,0,0,1,0,1,0,0,0
1369,2010,25,2497.0,150.0,19015,43061,0,0,0,1,1,0,0,0,1,0
1370,2017,55,1248.0,74.0,7225,91962,0,1,0,0,0,1,1,0,0,0
1371,2017,44,999.0,123.24,11941,13670,0,0,0,1,0,1,1,0,0,0
1372,2013,39,1493.0,110.0,9127,46602,0,1,0,0,0,1,1,0,0,0
1373,2016,41,1193.0,88.7,6084,27157,0,0,0,1,0,1,1,0,0,0
1374,2011,33,2967.0,241.4,43735,26097,0,1,0,0,1,0,1,0,0,0
1375,2012,52,1248.0,74.0,3803,40389,0,1,0,0,0,1,1,0,0,0
1376,2015,62,1248.0,74.0,8366,47303,0,1,0,0,0,1,1,0,0,0
1377,2010,37,1368.0,90.0,2418,24762,0,0,0,1,0,1,1,0,0,0
1378,2017,43,1197.0,81.83,9461,11602,0,0,0,1,0,1,1,0,0,0
1379,2016,49,814.0,55.2,4183,7197,0,0,0,1,0,1,1,0,0,0
