,Year,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Price,Miles_Driven
831,2015,Diesel,Manual,First,52,1582.0,126.32,10815,45357
832,2014,Diesel,Manual,First,57,1498.0,98.6,10496,14291
833,2018,Petrol,Manual,First,43,1197.0,81.83,11819,9932
834,2011,Diesel,Manual,Second,30,2494.0,102.0,8366,60894
835,2014,Petrol,Manual,First,43,1197.0,81.83,8138,43551
836,2011,Diesel,Manual,Second,31,2523.0,63.0,6845,61515
837,2014,Diesel,Manual,First,47,1498.0,103.2,7225,44738
838,2015,Diesel,Automatic,First,38,2179.0,187.7,49896,27460
839,2005,Petrol,Manual,First,40,993.0,60.0,1064,63379
840,2018,Diesel,Automatic,First,30,2987.0,258.0,76502,35201
841,2010,Diesel,Manual,Second,27,2982.0,171.0,16718,25880
842,2015,Petrol,Automatic,First,44,1197.0,82.0,8473,38349
843,2018,Diesel,Manual,First,59,1186.0,73.97,8975,15721
844,2016,Petrol,Manual,First,35,1591.0,121.3,14345,29214
845,2010,Petrol,Manual,First,47,1197.0,78.9,4411,42874
846,2016,Petrol,Manual,First,45,1198.0,86.8,5598,20318
847,2015,Diesel,Automatic,First,29,2982.0,168.5,32964,62967
848,2011,Diesel,Automatic,First,38,1968.0,140.0,19015,36660
849,2018,Diesel,Automatic,First,26,2755.0,171.5,30302,25933
850,2014,Diesel,Manual,First,59,1498.0,98.6,10268,44520
851,2015,Diesel,Manual,First,59,1498.0,98.6,10587,50086
852,2017,Petrol,Manual,First,51,999.0,67.0,4943,39309
853,2018,Diesel,Manual,First,66,1248.0,74.0,13158,3390
854,2017,Petrol,Automatic,First,54,998.0,67.04,7606,4660
855,2011,Diesel,Manual,First,35,2179.0,140.0,8366,41010
856,2010,Petrol,Manual,Second,47,1197.0,78.9,3955,41488
857,2014,Petrol,Manual,First,46,1086.0,68.05,5187,36332
858,2011,Petrol,Manual,First,51,1197.0,81.8,4107,29009
859,2008,Petrol,Automatic,Fourth & Above,22,1995.0,163.5,8366,47845
860,2012,Petrol,Automatic,First,33,1984.0,226.6,53242,4349
861,2011,Petrol,Automatic,Second,34,1991.0,184.0,14831,29825
862,2013,Diesel,Manual,First,50,1461.0,84.8,6465,29204
863,2015,Petrol,Manual,First,44,998.0,67.1,4867,32019
864,2014,Diesel,Manual,Second,55,1248.0,74.0,10420,16024
865,2015,Diesel,Manual,First,60,1498.0,98.6,6845,29825
866,2012,Diesel,Manual,First,66,1248.0,74.0,5400,32311
867,2010,CNG,Manual,Second,31,1495.0,93.7,2890,59426
868,2008,Diesel,Manual,First,24,2609.0,120.0,5476,81399
869,2015,Diesel,Automatic,First,30,2143.0,201.1,33162,26144
870,2012,Diesel,Manual,Second,30,2982.0,168.5,20536,47224
871,2016,Petrol,Manual,First,53,799.0,53.64,4046,12730
872,2010,Petrol,Manual,Second,39,1497.0,116.3,5704,26718
873,2018,Petrol,Automatic,First,45,2494.0,158.2,48679,10563
874,2016,Diesel,Manual,First,61,1498.0,98.6,12276,37782
875,2012,Diesel,Manual,First,45,1968.0,138.1,8579,36521
876,2013,Diesel,Automatic,First,41,1968.0,174.33,36494,43608
877,2016,Diesel,Manual,First,48,1248.0,88.76,11409,53330
878,2016,Diesel,Automatic,First,45,2143.0,167.62,41072,36166
879,2008,Diesel,Manual,Second,45,1248.0,73.9,4335,56544
880,2012,Diesel,Manual,First,44,1461.0,108.45,9659,45981
881,2010,Diesel,Manual,First,49,1248.0,73.9,5020,49289
882,2013,Petrol,Manual,First,44,1197.0,85.8,7606,23999
883,2014,Diesel,Manual,First,53,1248.0,74.0,9827,37234
884,2017,Petrol,Manual,First,49,814.0,55.2,5704,14515
885,2003,Petrol,Manual,Third,40,993.0,60.0,2312,38211
886,2012,Petrol,Manual,First,35,1196.0,73.0,5491,35207
887,2017,Diesel,Automatic,First,33,1968.0,174.3,66538,25052
888,2014,Diesel,Automatic,First,36,1968.0,174.33,30424,37282
889,2010,Diesel,Manual,First,45,1248.0,73.9,5552,80778
890,2013,Diesel,Manual,First,33,1978.0,83.1,7986,12427
891,2016,Diesel,Automatic,First,37,2993.0,258.0,88230,47224
892,2015,Petrol,Automatic,First,42,1497.0,117.3,13158,18641
893,2015,Diesel,Manual,First,58,1396.0,69.01,3803,93205
894,2014,Petrol,Automatic,First,39,1197.0,103.6,11789,17398
895,2015,Petrol,Manual,First,54,998.0,67.04,6313,45981
896,2011,Diesel,Manual,First,27,2982.0,171.0,16505,46602
897,2010,Petrol,Automatic,Second,26,2360.0,170.0,8412,47224
898,2014,Diesel,Automatic,First,36,1896.0,105.0,17494,40320
899,2015,Diesel,Manual,First,46,1582.0,126.2,14071,26718
900,2011,Petrol,Manual,First,41,1198.0,75.0,3483,29508
901,2015,Diesel,Manual,First,53,1498.0,98.59,10648,49709
902,2007,Petrol,Manual,Second,42,1061.0,64.0,2510,37282
903,2017,Petrol,Manual,First,48,1373.0,91.1,12550,3731
904,2011,Petrol,Automatic,First,34,1991.0,181.03,13903,44554
905,2016,Petrol,Manual,First,41,1198.0,86.7,9887,20505
906,2015,Diesel,Manual,First,46,1461.0,83.8,8747,56544
907,2012,LPG,Manual,First,61,998.0,58.2,4335,44738
908,2011,Petrol,Manual,Second,38,1198.0,73.9,3194,26718
909,2017,Diesel,Manual,First,46,1582.0,126.2,20612,39624
910,2012,Diesel,Automatic,First,34,2993.0,270.9,31185,27035
911,2017,Diesel,Manual,First,38,1956.0,170.0,30424,32311
912,2018,Diesel,Automatic,First,36,1999.0,177.0,90847,19527
913,2016,Diesel,Manual,First,64,1248.0,74.0,9887,18019
914,2016,Diesel,Manual,First,66,1248.0,88.5,11409,34796
915,2007,Petrol,Manual,Second,35,1586.0,104.68,3270,47224
916,2015,Diesel,Manual,First,53,1582.0,126.24,12839,33314
917,2013,Diesel,Manual,First,31,2477.0,175.56,19000,82020
918,2017,Petrol,Manual,First,39,1198.0,73.75,8336,9196
919,2013,Petrol,Manual,First,43,1197.0,85.8,6389,22017
920,2013,Diesel,Manual,First,39,1493.0,110.0,10952,51552
921,2014,Diesel,Manual,First,55,1248.0,74.0,7301,59651
922,2017,Diesel,Manual,First,59,1198.0,77.0,8868,24561
923,2018,Diesel,Manual,First,32,2393.0,147.8,27975,57200
924,2016,Petrol,Manual,First,50,1197.0,83.1,8899,9277
925,2016,Diesel,Manual,First,64,1498.0,98.6,9446,23612
926,2013,Petrol,Manual,First,39,1197.0,80.0,5552,44117
927,2012,Diesel,Manual,First,54,1396.0,90.0,5628,44117
928,2015,Diesel,Automatic,First,45,2143.0,167.62,45636,31068
929,2016,Petrol,Manual,First,44,1197.0,82.0,7377,29927
930,2017,Petrol,Automatic,First,44,1197.0,82.0,10542,11910
931,2016,Petrol,Manual,First,53,796.0,47.3,3955,16155
932,2014,Petrol,Manual,First,42,1199.0,82.5,2875,23239
933,2018,Diesel,Automatic,First,0,1950.0,194.0,60088,5394
934,2012,Petrol,Automatic,First,32,1798.0,157.75,15212,59030
935,2009,Diesel,Automatic,First,38,1968.0,147.51,15136,21126
936,2014,Diesel,Manual,Second,30,2494.0,102.0,14375,59030
937,2017,Diesel,Automatic,First,42,2143.0,136.0,42974,8505
938,2008,Petrol,Manual,Second,46,1086.0,68.05,2738,52195
939,2008,Petrol,Manual,Second,41,1298.0,85.8,2129,29204
940,2015,Diesel,Automatic,First,50,1498.0,103.52,11028,37282
941,2012,Diesel,Manual,First,49,1248.0,73.9,5476,59651
942,2004,Petrol,Manual,Second,33,1599.0,94.0,1825,29390
943,2014,Petrol,Manual,Second,41,1198.0,86.7,7514,17551
944,2007,Petrol,Manual,Second,44,998.0,67.1,1901,40389
945,2013,Diesel,Manual,Second,51,1199.0,73.9,7301,42253
946,2019,Diesel,Automatic,First,29,2198.0,158.0,47386,6964
947,2011,Petrol,Manual,Second,39,1197.0,80.0,5020,26085
948,2012,Diesel,Manual,First,59,936.0,57.6,3650,40389
949,2010,Petrol,Manual,First,34,1799.0,130.2,3042,23612
950,2014,Petrol,Manual,First,48,998.0,67.04,4715,31689
951,2014,Petrol,Manual,First,35,1598.0,103.6,7743,21036
952,2006,Petrol,Manual,Second,36,1590.0,94.0,1597,90720
953,2015,Diesel,Manual,Second,53,1498.0,98.59,10648,29227
954,2010,Petrol,Manual,Second,31,1495.0,94.0,3803,36039
955,2012,Diesel,Automatic,First,52,1995.0,190.0,26621,38052
956,2011,Petrol,Manual,First,49,998.0,67.1,3194,56675
957,2013,Diesel,Automatic,First,36,1968.0,174.33,27001,52195
958,2008,LPG,Manual,First,40,1061.0,57.5,2205,39908
959,2005,Petrol,Automatic,Second,26,1794.0,125.0,3726,41631
960,2011,Diesel,Automatic,First,31,2400.0,215.0,20992,66471
961,2016,Diesel,Manual,First,64,1498.0,98.6,8899,16907
962,2017,Diesel,Manual,First,66,1248.0,88.5,13538,16355
963,2016,Petrol,Manual,First,47,1197.0,81.8,7834,5658
964,2015,Diesel,Automatic,First,45,2143.0,170.0,25191,39757
965,2010,Petrol,Manual,Second,44,1061.0,67.0,2510,83263
966,2015,Petrol,Automatic,First,36,1595.0,120.7,24339,6835
967,2008,Petrol,Manual,First,0,1086.0,62.0,2205,57787
968,2017,Diesel,Automatic,First,62,1248.0,74.0,12291,15442
969,2014,Petrol,Automatic,First,44,1197.0,82.0,6845,23383
970,2013,Petrol,Manual,Second,39,1498.0,97.7,6541,34175
971,2010,Petrol,Manual,First,44,998.0,66.1,3955,50609
972,2018,Petrol,Manual,First,59,799.0,53.3,6769,1180
973,2012,Petrol,Automatic,First,40,1591.0,121.4,8168,34148
974,2008,Petrol,Manual,Second,44,1061.0,67.0,2662,34175
975,2013,Diesel,Automatic,First,44,1995.0,184.0,25100,13659
976,2013,Diesel,Automatic,First,43,1995.0,177.0,28903,47224
977,2016,Diesel,Manual,First,58,1396.0,69.01,4259,40389
978,2015,Diesel,Manual,First,53,1396.0,88.73,9431,16155
979,2019,Petrol,Manual,First,39,796.0,34.2,5780,7189
980,2014,Diesel,Manual,First,59,1248.0,74.0,9279,50331
981,2019,Diesel,Manual,First,54,1498.0,98.96,17722,14387
982,2014,Petrol,Automatic,First,38,1198.0,86.8,6313,16687
983,2017,Diesel,Manual,First,32,2393.0,147.8,25100,41935
984,2008,Diesel,Manual,Second,24,2179.0,120.0,6541,109361
985,2010,Petrol,Manual,First,43,1197.0,80.0,3422,11184
986,2014,Diesel,Manual,First,52,1582.0,126.32,10268,39148
987,2014,Diesel,Manual,First,35,2179.0,140.0,14299,49709
988,2014,Diesel,Manual,First,48,1498.0,108.5,8199,35205
989,2019,Diesel,Manual,First,62,1248.0,74.0,12945,11552
990,2010,Petrol,Manual,First,32,1368.0,88.8,2814,47034
991,2012,Diesel,Manual,Second,53,1248.0,74.0,3803,50952
992,2013,Diesel,Manual,First,51,1199.0,73.9,7225,37282
993,2009,Petrol,Manual,Second,39,1497.0,118.0,5324,85749
994,2014,Diesel,Manual,First,54,1396.0,90.0,8366,41631
995,2012,Petrol,Manual,First,39,1497.0,118.0,9629,26563
996,2014,Diesel,Manual,First,59,936.0,57.6,3757,32558
997,2014,Petrol,Manual,First,38,995.0,62.1,5020,22777
998,2011,Diesel,Manual,Second,27,2179.0,138.1,5324,47845
999,2014,Diesel,Automatic,First,26,2987.0,254.8,58947,52816
1000,2008,Diesel,Automatic,First,27,2993.0,235.0,12154,69904
1001,2013,Diesel,Manual,First,33,2755.0,174.5,20201,65288
1002,2012,Petrol,Automatic,First,26,1995.0,150.0,14451,49709
1003,2019,Diesel,Manual,First,47,1461.0,108.45,21312,1927
1004,2016,Diesel,Manual,First,57,1120.0,71.0,10633,9106
1005,2010,Diesel,Automatic,Second,31,1995.0,170.0,16733,65243
1006,2008,Petrol,Automatic,Second,25,2497.0,215.0,16733,37903
1007,2010,Petrol,Manual,Second,42,1198.0,75.0,3498,52845
1008,2014,Diesel,Automatic,First,38,2179.0,187.7,40312,29825
1009,2011,Diesel,Automatic,First,23,4367.0,308.0,101921,34175
1010,2017,Petrol,Automatic,First,37,1368.0,160.0,27001,2485
1011,2010,Petrol,Automatic,Second,23,2354.0,152.0,7301,58408
1012,2013,Petrol,Manual,First,43,1197.0,85.8,6951,37971
1013,2016,Diesel,Manual,First,57,1120.0,71.0,5324,49709
1014,2015,Diesel,Manual,First,44,1461.0,108.5,11576,26837
1015,2015,Diesel,Automatic,First,42,1968.0,187.74,38030,27961
1016,2016,Petrol,Manual,First,44,1197.0,82.0,8944,27450
1017,2015,Diesel,Manual,First,30,2494.0,100.6,20536,52453
1018,2015,Petrol,Manual,First,43,1197.0,80.0,6997,21747
1019,2013,Diesel,Manual,First,53,1498.0,98.59,7453,27340
1020,2012,Petrol,Manual,First,39,1497.0,118.0,7986,42026
1021,2018,Petrol,Automatic,First,34,1497.0,121.36,18878,11423
1022,2014,Diesel,Manual,First,51,1199.0,73.9,5780,21747
1023,2010,Diesel,Automatic,First,45,2143.0,170.0,13614,30447
1024,2013,Diesel,Manual,First,53,1498.0,89.84,10952,42874
1025,2017,Petrol,Manual,First,33,1396.0,65.0,6845,14433
1026,2014,Diesel,Manual,First,62,1248.0,74.0,6313,42540
1027,2016,Diesel,Manual,First,59,1248.0,88.5,12078,46361
1028,2014,Diesel,Manual,First,44,1461.0,108.45,11028,55923
1029,2016,Petrol,Manual,First,44,998.0,67.1,5628,13670
1030,2010,Petrol,Manual,First,0,1086.0,62.0,3726,36140
1031,2011,Diesel,Manual,Third,59,936.0,57.6,2281,68040
1032,2017,Diesel,Manual,First,37,1997.0,140.0,18254,8303
1033,2012,Petrol,Manual,Second,46,1086.0,68.05,3346,31689
1034,2007,Diesel,Manual,First,32,2179.0,138.0,5476,64001
1035,2009,Petrol,Manual,First,47,1197.0,78.9,2920,26720
1036,2016,Diesel,Automatic,First,26,2755.0,171.5,31185,67108
1037,2010,Diesel,Manual,First,41,1896.0,106.0,6465,51205
1038,2013,Petrol,Manual,First,44,1197.0,82.0,4867,18019
1039,2014,Diesel,Manual,First,55,1248.0,74.0,5856,27961
1040,2010,Diesel,Manual,First,54,1396.0,90.0,5293,58036
1041,2017,Diesel,Manual,Second,60,1498.0,99.0,6921,59528
1042,2016,Diesel,Manual,First,59,1248.0,88.5,10648,80778
1043,2013,Diesel,Manual,First,48,1248.0,88.8,8747,41907
1044,2016,Petrol,Automatic,First,39,1497.0,116.3,13280,29627
1045,2009,Petrol,Manual,First,46,796.0,46.3,2586,21747
1046,2016,Diesel,Automatic,First,25,3198.0,197.0,44875,42253
1047,2019,Diesel,Manual,First,57,1248.0,88.5,15957,21554
1048,2015,Petrol,Automatic,First,20,2706.0,265.0,97358,6531
1049,2016,Diesel,Manual,First,53,1248.0,74.0,11485,36039
1050,2014,Petrol,Manual,First,41,1193.0,88.7,6008,24854
1051,2010,Petrol,Manual,Fourth & Above,39,1197.0,80.0,4943,37903
1052,2009,Diesel,Manual,First,45,1422.0,70.0,4183,53437
1053,2015,Diesel,Manual,First,50,1364.0,87.2,11180,27961
1054,2017,Petrol,Manual,First,39,1198.0,73.75,7149,34175
1055,2016,Petrol,Manual,Second,35,1591.0,121.3,13341,22900
1056,2013,Petrol,Manual,First,47,1197.0,78.9,5202,29093
1057,2015,Petrol,Manual,First,43,1199.0,76.8,3803,74564
1058,2012,Diesel,Automatic,First,34,2993.0,270.9,30424,18019
1059,2014,Petrol,Manual,First,31,1598.0,102.5,7986,24854
1060,2013,Diesel,Automatic,Second,36,1968.0,174.33,22057,37282
1061,2011,Petrol,Automatic,First,39,1197.0,78.9,5248,40379
1062,2015,Petrol,Automatic,First,56,998.0,67.1,5020,45486
1063,2014,Diesel,Automatic,First,26,4134.0,335.2,77582,31068
1064,2017,Diesel,Manual,First,57,1248.0,88.5,9887,21747
1065,2013,Petrol,Manual,First,49,814.0,55.2,5552,11016
1066,2012,Diesel,Manual,First,47,1497.0,115.0,11028,60272
1067,2014,Diesel,Manual,First,51,1582.0,126.2,9142,55683
1068,2015,Petrol,Manual,First,44,998.0,67.1,4259,8699
1069,2012,Petrol,Manual,First,39,1197.0,80.0,6084,31068
1070,2014,Petrol,Manual,First,40,1497.0,117.3,9051,38838
1071,2011,Diesel,Manual,Second,30,2494.0,102.0,13995,154100
1072,2012,Diesel,Manual,First,39,1493.0,110.0,8138,58968
1073,2017,Diesel,Manual,First,41,2179.0,153.86,18254,34175
1074,2015,Diesel,Automatic,Second,28,2967.0,241.4,59236,33389
1075,2008,Petrol,Manual,Second,44,998.0,67.1,4092,33513
1076,2013,Diesel,Automatic,Second,40,1995.0,218.0,41833,36350
1077,2014,Petrol,Manual,First,42,1198.0,86.7,4183,29825
1078,2016,Petrol,Manual,First,58,796.0,47.3,4259,14912
1079,2016,Petrol,Manual,First,40,1591.0,121.3,9811,32311
1080,2018,Petrol,Manual,First,56,1199.0,84.0,8944,5943
1081,2013,Petrol,Manual,First,43,1197.0,85.8,7073,20476
1082,2014,Petrol,Manual,First,49,814.0,55.2,3803,11184
1083,2018,Petrol,Automatic,First,29,1950.0,191.34,78114,12704
1084,2016,Diesel,Manual,First,53,1396.0,88.73,10420,20515
1085,2012,Diesel,Manual,First,55,1364.0,67.05,7986,29825
1086,2014,Diesel,Manual,First,50,1364.0,87.2,14040,44752
1087,2014,Diesel,Automatic,First,48,1496.0,113.98,33466,21126
1088,2014,Diesel,Manual,First,47,1498.0,88.8,7895,42874
1089,2009,Petrol,Automatic,First,32,1798.0,157.75,6617,67108
1090,2013,Diesel,Automatic,First,23,2148.0,170.0,37269,21561
1091,2015,Diesel,Manual,First,41,1248.0,75.0,8747,49088
1092,2016,Petrol,Automatic,First,42,1497.0,117.3,13980,36161
1093,2008,Petrol,Automatic,Second,19,2979.0,321.0,16353,41010
1094,2009,Petrol,Automatic,First,45,1197.0,80.0,4548,37282
1095,2014,Diesel,Manual,First,62,1248.0,74.0,5917,35418
1096,2018,Diesel,Manual,First,61,1498.0,98.6,17843,28306
1097,2016,Petrol,Manual,First,32,796.0,35.0,4730,34260
1098,2014,Diesel,Manual,Second,40,1968.0,138.1,21981,57989
1099,2018,Diesel,Manual,First,57,1248.0,88.5,13234,23612
1100,2016,Diesel,Manual,First,56,1120.0,70.0,7666,35876
1101,2017,Diesel,Manual,First,66,1248.0,88.5,12930,23787
1102,2014,Diesel,Automatic,First,45,2143.0,170.0,23807,39767
1103,2015,Diesel,Manual,First,48,1248.0,91.72,8594,19883
1104,2010,Petrol,Automatic,First,25,2497.0,204.0,25100,51573
1105,2011,CNG,Manual,First,61,998.0,67.1,3042,47224
1106,2012,Petrol,Manual,First,35,1598.0,103.6,5932,41756
1107,2013,Diesel,Automatic,First,44,1995.0,184.0,22057,38932
1108,2015,Diesel,Automatic,First,34,2993.0,258.0,66933,10501
1109,2017,Petrol,Manual,First,44,1197.0,81.86,7606,5263
1110,2016,Diesel,Automatic,First,26,2755.0,171.5,30044,42874
1111,2017,Diesel,Automatic,First,46,1461.0,108.45,17402,18697
1112,2011,Diesel,Manual,First,42,1248.0,75.0,2662,74564
1113,2016,Petrol,Manual,First,28,1796.0,185.0,46275,22331
1114,2013,Diesel,Manual,First,35,2179.0,140.0,14558,72510
1115,2016,Diesel,Manual,First,37,2523.0,62.1,5324,25133
1116,2018,Diesel,Manual,First,57,1248.0,88.5,15911,40051
1117,2014,Diesel,Manual,First,48,1248.0,91.72,7377,32797
1118,2016,Petrol,Manual,First,45,1199.0,88.76,8640,32107
1119,2015,Petrol,Automatic,First,32,1798.0,157.75,20156,34842
1120,2011,Diesel,Automatic,First,34,2993.0,270.9,24339,40389
1121,2013,Petrol,Manual,First,44,998.0,67.1,4563,49088
1122,2010,Petrol,Automatic,First,34,1798.0,138.1,7606,43620
1123,2016,Petrol,Manual,First,37,1197.0,85.0,7225,26097
1124,2014,Petrol,Manual,First,38,1198.0,74.0,8138,38525
1125,2017,Petrol,Manual,First,44,1197.0,81.86,9096,12427
1126,2011,Diesel,Manual,Third,50,1248.0,88.8,5324,49709
1127,2018,Petrol,Manual,First,44,1197.0,81.86,7256,31213
1128,2016,Petrol,Manual,First,50,1197.0,83.1,8290,31070
1129,2018,Petrol,Automatic,First,47,1199.0,84.0,10420,621
1130,2016,Diesel,Automatic,First,62,1248.0,74.0,11104,34111
1131,2007,Petrol,Manual,First,35,1193.0,65.3,1901,67726
1132,2015,Diesel,Manual,First,53,1598.0,118.0,12550,45360
1133,2008,Petrol,Manual,First,37,1298.0,88.2,4122,40389
1134,2016,Petrol,Manual,First,44,1197.0,82.0,5476,19883
1135,2010,Petrol,Manual,First,43,1197.0,80.0,4563,40389
1136,2016,Petrol,Automatic,First,54,998.0,67.04,7073,13421
1137,2010,Diesel,Automatic,First,34,2143.0,170.0,14451,24233
1138,2011,Petrol,Manual,First,41,1298.0,85.8,4487,36086
1139,2011,Petrol,Manual,First,35,1598.0,103.6,4563,36039
1140,2015,Diesel,Manual,First,59,1248.0,74.0,9051,36039
1141,2008,Petrol,Automatic,First,34,1798.0,138.1,6084,55302
1142,2008,Petrol,Manual,First,31,1799.0,130.0,3803,44738
1143,2017,Petrol,Automatic,First,37,1499.0,110.4,17296,1118
1144,2010,Diesel,Manual,Second,44,1248.0,93.0,3422,106906
1145,2013,Petrol,Manual,First,46,1086.0,68.05,4715,28725
1146,2014,Diesel,Automatic,First,26,2400.0,215.0,26134,54012
1147,2018,Petrol,Manual,First,43,1197.0,81.83,9887,3106
1148,2014,Diesel,Manual,First,61,1498.0,98.6,8670,41010
1149,2013,Diesel,Manual,First,30,2494.0,100.0,12169,73943
1150,2016,Petrol,Manual,First,59,799.0,53.3,3955,27961
1151,2009,Petrol,Manual,First,44,998.0,66.1,3726,41103
1152,2014,Petrol,Automatic,First,34,1595.0,120.7,17600,26141
1153,2012,Petrol,Manual,First,44,998.0,67.1,3498,22060
1154,2016,Diesel,Manual,First,59,1248.0,74.0,8975,25762
1155,2015,Petrol,Automatic,First,39,1591.0,121.3,10952,25227
1156,2013,Diesel,Automatic,First,51,1582.0,126.2,8975,54059
1157,2014,Petrol,Manual,Second,39,1497.0,116.3,9127,18641
1158,2010,Petrol,Manual,First,37,1086.0,66.7,2966,16832
1159,2016,Diesel,Manual,First,55,1364.0,67.04,9963,33368
1160,2015,Diesel,Automatic,First,63,1969.0,190.0,38030,31689
1161,2012,Diesel,Manual,First,47,1399.0,68.05,4031,22706
1162,2017,Diesel,Automatic,First,30,2987.0,265.0,105724,9320
1163,2012,Diesel,Automatic,First,53,1995.0,190.0,21297,40389
1164,2014,Petrol,Manual,Second,53,796.0,47.3,3194,19883
1165,2017,Diesel,Manual,First,32,2393.0,147.8,31032,15157
1166,2019,Petrol,Manual,First,44,999.0,75.0,8640,621
1167,2014,Petrol,Manual,First,31,1598.0,102.5,8442,17546
1168,2013,Diesel,Manual,First,31,2477.0,175.56,19395,36660
1169,2012,Petrol,Manual,Second,34,1799.0,130.2,5096,57166
1170,2013,Petrol,Manual,First,53,796.0,47.3,2357,35318
1171,2013,Diesel,Manual,Second,48,1598.0,103.6,8975,38988
1172,2012,Diesel,Automatic,First,29,2179.0,187.74,28872,59651
1173,2014,Petrol,Manual,First,32,1997.0,153.86,17509,14912
1174,2016,Diesel,Manual,First,48,1248.0,88.76,11789,33554
1175,2016,Diesel,Manual,First,30,2494.0,100.6,21144,55923
1176,2010,Petrol,Manual,First,35,1368.0,90.0,2053,24854
1177,2015,Diesel,Automatic,Second,28,2967.0,241.4,57806,40971
1178,2017,Petrol,Automatic,First,40,1591.0,121.4,17646,10004
1179,2017,Diesel,Automatic,First,50,1498.0,108.5,18634,2236
1180,2011,Petrol,Manual,First,39,1497.0,118.0,5780,32311
1181,2014,Diesel,Manual,First,47,1399.0,68.05,4943,33554
1182,2016,Petrol,Manual,First,43,1199.0,88.7,9735,9568
1183,2012,Petrol,Manual,Second,38,1198.0,73.9,6008,46602
1184,2010,Petrol,Manual,First,40,1497.0,117.3,5430,47691
1185,2005,Petrol,Manual,Second,41,1497.0,78.0,1901,34796
1186,2015,CNG,Manual,First,61,998.0,58.2,5552,43495
1187,2013,Petrol,Automatic,Second,28,2354.0,187.4,19015,28660
1188,2014,Diesel,Automatic,Second,42,1995.0,190.0,34988,21747
1189,2003,Diesel,Manual,Third,30,1489.0,35.5,2053,49709
1190,2012,Diesel,Manual,First,28,2179.0,120.0,9614,38977
1191,2012,Diesel,Manual,First,48,1598.0,103.6,5172,21126
1192,1999,Petrol,Manual,Second,40,993.0,60.0,1171,43495
1193,2009,Petrol,Manual,First,37,796.0,37.0,1369,19883
1194,2017,Petrol,Automatic,First,33,1798.0,138.03,27381,13048
1195,2013,Petrol,Automatic,First,34,1997.0,245.0,28903,30447
1196,2007,Petrol,Manual,Third,32,1299.0,70.0,1673,24854
1197,2012,Petrol,Manual,Second,43,1199.0,79.4,3042,48466
1198,2012,Diesel,Manual,First,50,1364.0,86.79,9887,32311
1199,2014,Diesel,Manual,First,37,2179.0,140.0,14375,40521
1200,2016,Diesel,Manual,First,57,1120.0,71.0,6084,105633
1201,2017,Diesel,Automatic,First,30,2143.0,204.0,49059,22918
1202,2009,Petrol,Manual,First,47,1197.0,78.9,3194,38835
1203,2015,Petrol,Automatic,Second,33,1798.0,138.03,14831,42253
1204,2014,Petrol,Manual,First,34,1798.0,138.0,9583,25319
1205,2013,Diesel,Automatic,First,40,1968.0,184.0,31945,37282
1206,2014,Diesel,Manual,First,51,1396.0,88.8,7073,7705
1207,2013,Diesel,Automatic,Second,45,2143.0,167.62,25860,54059
1208,2013,Diesel,Manual,First,49,1248.0,73.9,6617,12581
1209,2017,Diesel,Manual,First,46,1582.0,126.2,22544,32549
1210,2018,Diesel,Automatic,First,31,1999.0,177.0,60848,621
1211,2016,Diesel,Manual,First,35,2489.0,93.7,9355,52816
1212,2014,Diesel,Manual,First,30,2494.0,100.6,17113,29204
1213,2018,Petrol,Automatic,First,45,2494.0,157.7,48679,10926
1214,2018,Diesel,Automatic,First,31,2967.0,241.4,69398,20192
1215,2017,Diesel,Manual,First,66,1248.0,74.0,9492,21507
1216,2015,Diesel,Manual,First,48,1248.0,88.76,7301,95069
1217,2014,Petrol,Manual,Second,37,1197.0,85.0,6845,33554
1218,2015,Petrol,Manual,First,47,1197.0,78.9,5887,10501
1219,2013,Petrol,Manual,First,47,1197.0,78.9,4183,38732
1220,2018,Petrol,Manual,First,50,1197.0,83.1,9994,14735
1221,2010,Petrol,Manual,First,38,1495.0,93.7,3042,32513
1222,2012,Petrol,Manual,First,45,1198.0,86.8,5552,31068
1223,2016,Diesel,Manual,First,53,1248.0,74.0,10572,34638
1224,2014,Petrol,Manual,First,47,1197.0,81.86,8366,33554
1225,2013,Diesel,Manual,First,37,2179.0,140.0,10648,26718
1226,2014,Diesel,Automatic,First,30,2143.0,201.1,36509,24854
1227,2010,Diesel,Automatic,Second,0,2179.0,115.0,16733,77671
1228,2016,Diesel,Automatic,First,45,2143.0,170.0,49439,32276
1229,2015,Diesel,Manual,First,50,1396.0,88.76,9811,29173
1230,2015,Diesel,Automatic,First,45,1968.0,141.0,23959,14291
1231,2014,Petrol,Manual,First,39,1497.0,118.0,8366,33893
1232,2015,Diesel,Automatic,First,29,2982.0,168.5,28948,32022
1233,2013,Diesel,Automatic,First,40,1968.0,184.0,23198,27961
1234,2012,Petrol,Manual,First,49,998.0,67.1,3650,28585
1235,2011,Diesel,Manual,First,54,1396.0,69.0,3498,77050
1236,2014,Diesel,Automatic,First,40,1968.0,174.33,21829,48091
1237,2018,CNG,Manual,First,78,796.0,40.3,5324,6586
1238,2018,Petrol,Automatic,First,42,1497.0,117.3,18209,14275
1239,2015,Diesel,Manual,First,33,2755.0,174.5,28751,40396
1240,2017,Petrol,Manual,First,44,1197.0,82.0,8214,10640
1241,2015,Petrol,Manual,First,35,1196.0,73.0,4487,56180
